index,title,reviews,recommends(%),authors,publisher,price_n,price_r
"331","半小时漫画党史1921―1949（针对青少年研发，给孩子们讲党的故事！严肃活泼的极简漫画党史！）（半小时漫画系列）","49","93.9","上海人民出版社","上海人民出版社","24.90","49.90"
"332","认知觉醒：开启自我改变的原动力","43336","100","周岭","人民邮电出版社","29.90","59.80"
"333","蝴蝶・豌豆花","279823","99.9","金波","河北教育出版社","10.10","25.80"
"334","幼儿学古诗（绘本版，全2册）","181652","100","中国教育科学研究院学前教育研究中心","教育科学出版社有限公司","49.00","98.00"
"335","富有的习惯","30070","99.9","托马斯・科里","民主与建设出版社","22.50","45.00"
"336","把坏脾气收起来","318843","100","卡罗尔・罗思","北京科学技术出版社","18.00","36.00"
"337","月亮与六便士（荣获豆瓣9.4高分评论，一本好书 腾讯视频栏目推荐）","187196","99.8","毛姆","南海出版公司","17.50","35.00"
"338","杨绛传：简朴的生活，高贵的灵魂（杨绛先生诞辰110周年纪念版）","24629","100","梅子","民主与建设出版社","34.40","49.80"
"339","有故事的汉字 第1辑（全3册）","170616","99.8","邱昭瑜","青岛出版社","30.00","60.00"
"340","我的个天（戴教授随笔集，聊聊年轻朋友绕不开的读书、工作、恋爱那些事儿）","61736","100","戴建业","上海文艺出版社","39.90","59.80"
"341","余光中下次你路过，人间已无我","26062","100","余光中","江西人民出版社","41.60","42.00"
"342","小刺猬理发百年百部精选注音书 本书收录了鲁兵的童话和童谣诗","11786","100","鲁兵","长江少年儿童出版社","12.50","25.00"
"343","在细雨中呼喊（余华活着许三观卖血记兄弟文城长篇代表作之一作家出版社）","129606","100","余华","作家出版社","24.70","33.00"
"344","这世界很好，但你也不差（打破满意度低幸福感差，这世界真叫人疲倦的死循环。万特特全新作品，《这世界很烦，但你要很可爱》姊妹篇）","33673","100","万特特","新世界出版社","22.00","49.00"
"345","刻意练习：如何从新手到大师","319197","100","安德斯・艾利克森","机械工业出版社","29.50","59.00"
"346","[谷爱凌朗读者推荐] 那不勒斯四部曲（当当独家函套版，套装共4册，我的天才女友新名字的故事离开的留下的失踪的孩子，HBO青春大剧上映两个女人50年的友谊和战争）","93097","99.9","埃莱娜・费兰特","人民文学出版社","130.00","260.00"
"347","春枝秋雨","9642","99.9","帘十里","花山文艺出版社","25.10","45.80"
"348","宫西达也“你肯定能行”绘本（全18册）","378464","99.9","宫西达也","青岛出版社","159.00","318.00"
"349","晚熟的人（莫言新书）","305748","100","莫言","人民文学出版社","46.60","59.00"
"350","美好的旅行 全球 中国最美的100个地方 图说天下 国家地理 套装共2册[精选套装]","46457","100","图书天下・国家地理","北京联合出版公司","15.50","39.80"
"351","画给孩子的中国神话 : 精装彩绘本","50613","99.9","施英巍","吉林美术出版社","38.00","55.00"
"352","自卑与超越（也译作《超越自卑》。个体心理学创始人阿德勒代表作之一）","128348","100","阿尔弗雷德・阿德勒","民主与建设出版社","14.10","30.00"
"353","一个陌生女人的来信（茨威格中短篇小说选，豆瓣9.4高评分译作，德文直译无删节）","195159","99.9","斯蒂芬・茨威格","时代文艺出版社","10.40","22.00"
"354","如果你坐得歪歪扭扭","19922","100","李仑姬","北京科学技术出版社","19.90","39.80"
"355","是谁嗯嗯在我的头上――邓超微博推荐的绘本 带给孩子更多勇气和自信的绘本！","272442","99.7","维尔纳霍尔茨瓦特","河北教育出版社","19.90","39.80"
"356","新参者（2016版）","231819","99.8","东野圭吾","南海出版公司","19.70","39.50"
"357","全球通史:从史前史到21世纪（第7版修订版上下册，赠送全球通史主题笔记本）","432543","99.7","斯塔夫里阿诺斯","北京大学出版社","72.00","96.00"
"358","牛虻（我一定要走自己的路，追随我所见到的光明。无数人因为读它重获力量）","21448","99.9","艾捷尔・丽莲・伏尼契","台海出版社","34.40","49.80"
"359","曹文轩文集典藏版（全7册）","393346","99.2","曹文轩","天天出版社有限责任公司","84.00","168.00"
"360","洛克菲勒留给儿子的38封信","108536","99.8","洛克菲勒","中华工商联合出版社","14.00","28.00"
"361","罗尔德・达尔作品典藏（13本套装）","242763","99.9","罗尔德・达尔","明天出版社","139.00","278.00"
"362","围城","203109","99.8","钱钟书","人民文学出版社","28.40","36.00"
"363","牙婆婆 （儿童医师张思莱倾情推荐。愉快教导孩子保护牙齿的妈妈书！小朋友，你喜欢甜食吗？吃过甜食，你有好好刷牙吗？送给爱吃甜食的你！）","107024","100","�i田澄子","北京联合出版公司","18.00","36.00"
"364","图说二十四节气（三千年来二十四节气里的中国）","635","100","刘风雪","北京日报出版社","24.90","49.80"
"365","她与白玫瑰（许念念高口碑小说，双向救赎X校园初恋，甜虐直击少女心！ 随书赠书签）（风炫出品）","262","100","许念念","江苏凤凰文艺出版社","32.10","42.80"
"366","非自然死亡：我的法医笔记（法医秦明冠名推荐，15年法医生涯，19宗真实案件改编。全网阅读超1亿人次！）","80985","100","刘晓辉","台海出版社","26.00","52.00"
"367","两地书：鲁迅许广平定情之作，裸脊锁线典藏版,《见字如面》重磅推荐","6801","100","鲁迅","古吴轩出版社","37.40","49.80"
"368","我爱天下一切狗 季羡林散文集（爱尽万物，自在不言。）","34576","100","季羡林","光明日报出版社","41.70","49.00"
"369","国内大奖书系-吃黑夜的大象（注音 全彩 美绘）","121247","99.9","白冰","春风文艺出版社","11.20","19.00"
"370","窄门(我们所追求的幸福,究竟是来自于我们真正的内心?还是外界的定义?《窄门》会给你答案)","11828","99.9","安德烈・纪德","民主与建设出版社","34.40","49.80"
"371","事实（比尔.盖茨送给全美大学生的毕业礼物！比尔.盖茨逢人就推荐的热门大书！）","121628","100","汉斯・罗斯林","文汇出版社","49.50","99.00"
"372","梁实秋：人间食话（老树画画全彩插画，梁实秋谈吃散文名篇精装收藏本）","58753","100","梁实秋","天津人民出版社","38.30","45.00"
